Latitude	Longitude	Group
41.64029	-76.73937	06982
43.28698	-96.45295	01249
36.56783	-99.30946	02827
43.39041	-95.83498	01063
45.88844	-103.65441	00013
42.85314	-96.41859	00367
35.00904	-102.32746	00623
40.81634	-88.91269	04557
39.40451	-79.54895	06163
45.52279	-99.80492	00158
43.28905	-99.69528	00080
42.42301	-73.04298	05264
35.97482	-102.13036	00539
34.97499	-103.67831	00008
46.25254	-103.62236	00221
42.40068	-79.39945	05353
41.28867	-75.38799	07177
36.55292	-103.61283	00276
38.69465	-99.89183	00477
43.60750	-95.70102	00457
44.81816	-86.02212	05992
37.84476	-100.06653	00324
44.50939	-87.76153	04907
37.54032	-99.33490	00342
43.81208	-94.67785	02633
36.28753	-81.71194	03986
35.05834	-104.00826	00028
40.64276	-78.68935	06608
36.00810	-101.71888	00578
41.17811	-82.90504	05820
36.75872	-80.34707	04482
41.89627	-94.98504	00453
43.49733	-99.73973	00422
33.04148	-101.81432	03060
36.25692	-101.64011	00573
36.42315	-100.44042	00193
35.07114	-103.84486	01157
42.99836	-75.30858	05336
40.92271	-88.52483	04364
42.52668	-72.82571	06886
40.43621	-94.90278	03504
40.89722	-88.96650	04558
44.89277	-73.84014	05702
34.58112	-104.10819	05528
43.34346	-95.30022	01349
44.41819	-98.82098	00274
35.24372	-102.75732	00499
46.10664	-69.78076	03422
46.56153	-99.02540	00720
41.75879	-83.85820	06041
43.97327	-99.60719	00162
45.12274	-70.62214	03287
43.16103	-96.18808	01027
46.79078	-68.96148	04712
46.40733	-103.25142	00091
40.91494	-94.19115	02713
42.35722	-74.35352	05406
41.61554	-89.36401	04662
40.85575	-76.34081	06566
41.88943	-94.87172	00517
41.73916	-89.05413	04397
43.83814	-72.00790	05660
44.72137	-102.69296	00307
38.19891	-84.38493	07675
43.42437	-100.42703	00126
42.41983	-79.13506	05434
40.65753	-90.72601	05144
41.87082	-98.42678	00152
40.56200	-87.03291	04284
41.41668	-71.56798	07805
42.69956	-86.05051	05861
40.35429	-98.93871	00693
44.66465	-97.44508	00267
40.09527	-86.49099	04913
45.49477	-95.85881	03623
43.59579	-95.49203	00629
44.80511	-96.78871	00124
41.07393	-84.80213	05643
36.64180	-99.49564	02134
41.57384	-96.23740	02627
40.45422	-94.73991	03216
43.07298	-93.25125	02846
42.47889	-97.35045	00102
42.22173	-91.33125	04061
39.90717	-89.09142	07854
40.57276	-89.06167	04435
43.45090	-82.65764	04965
42.42812	-95.66163	00715
47.10629	-97.49831	02531
43.30293	-83.37076	06509
44.29396	-72.90115	01945
45.57500	-70.15194	03501
43.78673	-75.58353	04368
45.43685	-70.48512	00063
41.32739	-90.26165	04554
36.89162	-102.16223	01403
34.80460	-96.97787	04803
40.43561	-99.26038	00974
40.51650	-85.92107	05254
43.46129	-99.62756	00088
37.03405	-80.22379	07580
42.96976	-78.11816	05398
43.75104	-88.04417	05016
36.97925	-101.56262	01792
41.67739	-94.74736	00899
41.38802	-74.13082	04402
42.75819	-77.42606	03256
44.53328	-72.18488	05152
47.56284	-95.86949	05156
42.53468	-95.94640	00553
42.81096	-85.86797	06624
40.16278	-102.20583	04647
37.88257	-100.19643	00283
44.45581	-70.95094	02419
43.80470	-71.55910	04884
40.92227	-87.37259	04742
39.89074	-79.63617	06665
41.85994	-99.71235	01298
45.39214	-103.03507	00218
37.54547	-99.45265	00136
44.40289	-86.16185	07035
44.30827	-93.02950	02417
42.70237	-97.60130	00061
44.69155	-70.56071	04293
42.43534	-101.30663	00247
42.12159	-92.52573	03864
39.71455	-79.20844	04329
38.99773	-99.15353	00670
41.80598	-98.22852	00199
40.56917	-78.44742	04856
41.71179	-95.01594	00805
47.15786	-105.44751	00045
44.77842	-71.48685	02149
39.18478	-78.80480	04749
43.54993	-72.80164	02945
38.38596	-99.25055	00440
40.12585	-84.99803	05189
39.91508	-78.81425	07049
43.02832	-75.64791	06362
36.75167	-102.87408	01779
35.65743	-100.57001	00030
40.51142	-78.33493	06118
41.42944	-88.63657	04429
43.90176	-90.49942	05532
44.90283	-90.05730	06546
40.90667	-76.11485	07349
44.06818	-92.59001	03032
42.57538	-101.31087	00069
45.43333	-103.86357	00055
36.54495	-101.86385	02299
